rare_species_id,eol_content_id,eol_page_id,phylum,family,file_path,family_encoded
3f07c26e-a45b-40ee-ae25-5663ec983a10,9409350,1049385,chordata,balaenicipitidae,chordata_balaenicipitidae/9409350_1049385_eol-full-size-copy.jpg,18
06d970ef-ab4b-46e0-90c6-63d832935716,21706919,45517788,chordata,burhinidae,chordata_burhinidae/21706919_45517788_eol-full-size-copy.jpg,27
98cce0fc-e2bb-4e66-b7a1-5624a0028d48,21095988,1178065,chordata,psittacidae,chordata_psittacidae/21095988_1178065_eol-full-size-copy.jpg,152
8a7f5378-091b-4fc6-b809-ca72fbd00961,10820963,1077217,arthropoda,pseudophasmatidae,arthropoda_pseudophasmatidae/10820963_1077217_eol-full-size-copy.jpg,151
0b5f4969-835a-4b65-9f15-faa2bb46cb39,28740879,919473,chordata,pittidae,chordata_pittidae/28740879_919473_eol-full-size-copy.jpg,140
1b6a3efe-cdc3-4d3b-9260-a02aa3e5074b,9485029,46559307,chordata,delphinidae,chordata_delphinidae/9485029_46559307_eol-full-size-copy.jpg,66
c1b3c96c-50cc-4ea0-8047-41794347f6e5,8775125,45512086,chordata,spheniscidae,chordata_spheniscidae/8775125_45512086_eol-full-size-copy.jpg,175
072ecef5-6e60-4baf-8cb9-99742db0a293,21943396,46560310,chordata,somniosidae,chordata_somniosidae/21943396_46560310_eol-full-size-copy.jpg,172
7306b558-2ac2-4b0b-bdea-93798d0fb9c0,21968966,1049373,chordata,laridae,chordata_laridae/21968966_1049373_eol-full-size-copy.jpg,104
e58aff45-1640-4685-a6fc-bf6857be948a,20969385,793083,chordata,geoemydidae,chordata_geoemydidae/20969385_793083_eol-full-size-copy.jpg,84
de278456-d298-4a37-9bad-72cbd7abe118,28928679,45518912,chordata,burhinidae,chordata_burhinidae/28928679_45518912_eol-full-size-copy.jpg,27
0bc58a5b-bee6-4b51-80fa-3b67ce59d380,29380227,793088,chordata,geoemydidae,chordata_geoemydidae/29380227_793088_eol-full-size-copy.jpg,84
a9821c37-35df-4051-ae19-74ede54e81a1,30070968,1038777,chordata,bovidae,chordata_bovidae/30070968_1038777_eol-full-size-copy.jpg,23
41eb9bb9-75c2-4b2c-ba7e-bc439cc58e6f,20339039,323960,chordata,cercopithecidae,chordata_cercopithecidae/20339039_323960_eol-full-size-copy.jpg,38
abcf331e-7c76-42a0-8aac-bc7cc3604f4a,28508512,323914,chordata,atelidae,chordata_atelidae/28508512_323914_eol-full-size-copy.jpg,16
cceabd81-82a0-4b1d-94a4-091b473fc76e,14083220,328029,chordata,mustelidae,chordata_mustelidae/14083220_328029_eol-full-size-copy.jpg,121
2faaf0f8-eb80-425f-8644-622cc2fe851e,20703742,1049138,chordata,ciconiidae,chordata_ciconiidae/20703742_1049138_eol-full-size-copy.jpg,48
3775bfde-e683-48d3-992d-2ff88e941b1e,30099878,1047996,chordata,bucerotidae,chordata_bucerotidae/30099878_1047996_eol-full-size-copy.jpg,25
97152570-2829-4a51-af9b-fe65d96c882c,21979583,46559947,chordata,sphyrnidae,chordata_sphyrnidae/21979583_46559947_eol-full-size-copy.jpg,176
a3e146fb-9537-46ae-a0c9-cd6d24479b04,22410728,46577312,chordata,scombridae,chordata_scombridae/22410728_46577312_eol-full-size-copy.jpg,168
f2ef084a-b4a4-46af-92f0-7e98c0f3a815,11849,46561008,chordata,myliobatidae,chordata_myliobatidae/11849_46561008_eol-full-size-copy.jpg,122
4a87b417-d3ac-4d30-82c2-b14402f51f9a,22332519,794627,chordata,gavialidae,chordata_gavialidae/22332519_794627_eol-full-size-copy.jpg,82
16deaf08-f233-4b25-abc7-ff723cbc9242,29859194,208913,chordata,goodeidae,chordata_goodeidae/29859194_208913_eol-full-size-copy.jpg,89
445af307-d23d-4ed9-8eb5-cb572f3d165e,29746946,47044474,chordata,chamaeleonidae,chordata_chamaeleonidae/29746946_47044474_eol-full-size-copy.jpg,42
bf393ea8-80fc-4861-9d16-62ccedc2f05d,8973878,1048040,chordata,salamandridae,chordata_salamandridae/8973878_1048040_eol-full-size-copy.jpg,163
5f2a6ac5-2f16-4016-92a5-2f10fa8ff3c0,20870185,45276283,cnidaria,acroporidae,cnidaria_acroporidae/20870185_45276283_eol-full-size-copy.jpg,2
b3270096-70fa-4da6-abe6-7a5f0fd50c88,22513665,45514059,chordata,brachypteraciidae,chordata_brachypteraciidae/22513665_45514059_eol-full-size-copy.jpg,24
4f8ec0da-2d61-4e2d-b1e9-ca08f2345006,29676325,45275970,cnidaria,pocilloporidae,cnidaria_pocilloporidae/29676325_45275970_eol-full-size-copy.jpg,144
62745981-cf2c-40ef-88ab-6ca47810537e,21150988,323726,chordata,dasyuridae,chordata_dasyuridae/21150988_323726_eol-full-size-copy.jpg,64
5060dc94-64fb-4f90-9235-75fb8cf72b12,28208593,4453214,chordata,atelidae,chordata_atelidae/28208593_4453214_eol-full-size-copy.jpg,16
ec47ede5-8a06-4a6c-99d1-196c01f4bb91,20809237,46560594,chordata,rajidae,chordata_rajidae/20809237_46560594_eol-full-size-copy.jpg,155
04108ab7-1b59-4ffa-b7e3-8ef5c6bf1c45,20738654,46559412,chordata,pontoporiidae,chordata_pontoporiidae/20738654_46559412_eol-full-size-copy.jpg,147
e79673d2-8797-4a84-bbd0-5fe98e6776ca,28902901,311199,chordata,cercopithecidae,chordata_cercopithecidae/28902901_311199_eol-full-size-copy.jpg,38
f706bd4f-6df8-445c-be76-2b01f5efba50,28933416,2867406,arthropoda,carabidae,arthropoda_carabidae/28933416_2867406_eol-full-size-copy.jpg,32
